train_loss,val_loss,lr
5.614785731922496,5.000077111380441,0.001
4.87736291885376,4.708488839013236,0.001
4.569673720273104,4.5710269042423795,0.001
4.353511056033048,4.479958738599505,0.001
4.174938641894947,4.4115902696337015,0.001
4.030079666050997,4.366899933133807,0.001
3.902936504103921,4.358699917793274,0.001
3.788942347873341,4.331253392355783,0.001
3.6827312707901,4.337193335805621,0.001
3.5972414515235207,4.327984281948635,0.001
3.513956581462513,4.336571591241019,0.001
3.440526934103532,4.329627752304077,0.001
3.3630319703708995,4.332599367414202,0.001
3.2997844219207764,4.343041164534433,0.0005
3.1568791129372338,4.309474280902317,0.0005
3.1048920653083107,4.316526923860822,0.0005
3.0706884687597102,4.324797425951276,0.0005
3.038162491538308,4.319813694272723,0.0005
3.002433198148554,4.326970321791513,0.00025
2.935194637558677,4.319442476545062,0.00025
2.9142202615737913,4.318551063537598,0.00025
2.8941809524189344,4.322395409856524,0.00025
2.8791062463413586,4.329213465963091,0.000125
2.842519532550465,4.325032080922808,0.000125
2.830907136743719,4.3232987608228415,0.000125
2.8240963870828804,4.325125541005816,0.000125
2.8163359837098554,4.32732275554112,6.25e-05
2.7933151721954346,4.326960733958653,6.25e-05
2.7922431230545044,4.325498070035662,6.25e-05
2.7872606429186733,4.3275914532797675,6.25e-05
